row_id,age,annual_income,spending_score,debt_ratio,credit_card_count,overdue_count_6m
2962,0.005262416522561879,0.07522121375799848,0.013702523686194772,-0.12876280744274232,-0.004083771451180562,0.23292105880365482
9986,0.002235207535677686,-0.011199590242725056,0.0006577661754030498,-0.024985590220363917,-0.0013230412459317605,-0.06963798391162651
7026,-0.0013108748128196823,-0.07009493317404858,-0.00035911626270311657,-0.0027597755651544297,-0.003138329096084015,-0.03807941979563866
3223,0.0003499974114600418,-0.05296688752780597,0.0007162430626631142,-0.03118197029207086,0.0020193141236539676,-0.03492127840640136
8720,0.000593903895873587,-0.09624048324163201,-0.0008544514957055815,0.05127970665091657,-0.0007944240679376511,-0.057662029141819185
9468,-0.003513752617427495,-0.14415584319454483,0.0026416666596501106,0.023703311980300835,-0.0014816552330094053,0.03354372893144429
194,0.0012865695517263118,0.33081082612235724,-0.00270692357711261,0.015684155980123796,0.015762120764447336,0.1411399511025586
9490,0.0014934974446307574,-0.023910715207763656,-0.0004003672566211911,-0.04102224722733611,-0.000657086083278162,-0.05006811684840215
818,-0.0009924767117289934,-0.06226799805749427,-0.0003274703490933153,-0.017430897313794016,-0.0010462217874913826,-0.03550492702553391
8760,0.023987598104967398,0.13900295640685886,-0.007521028553363273,-0.14313660102181647,0.001418146328921192,0.08584216615435121
2252,0.0002598921604814879,-0.03414420664764806,0.0020848776055050837,-0.025641690856690318,-0.001880059594296682,-0.05504600015650222
750,-0.0003001915603754271,0.2553397355894958,-0.005414714749083284,0.15081296912993966,0.00043331947868215,0.1413226779225451
3470,0.00165369226975631,-0.0626494289773565,-0.00166305509881986,-0.018744079183379045,0.00010184670423398707,-0.036695208309712006
1067,-0.0001472367742490768,-0.09802561256120829,-0.0001242223807266708,-0.033765037511363956,0.0018178581207001577,0.0233847010644431
9874,0.0069154159028513434,-0.06301395174999984,0.0012857750865840163,-0.02143210476732343,0.0021625673194472866,-0.03665759476964892
1077,0.0004060173255609617,-0.1505697888522785,0.0031321788863519495,0.02636599658365404,0.0009156210521934064,0.030654874640198972
5358,-0.0036196584865168294,-0.029809607074394687,-0.0005646632108387223,-0.05794216687319828,-0.004670072407722589,0.035373481338957125
